,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP
11422,2,N,2,1,9,10,0,24-01004,8660
11423,2,4,1,2,3,8,0,51-01301,8590
11424,2,2,1,1,1,9,0,51-51255,N
11425,1,N,1,2,1,7,0,13-04600,3960
11426,2,6,2,1,9,9,0,17-03529,5170
11427,1,6,2,1,8,8,0,51-51255,N
11428,1,4,1,1,1,9,0,38-00100,N
11429,2,N,1,2,2,7,0,30-00600,6680
11430,2,3,1,1,N,N,0,17-03529,N
11431,1,1,2,1,9,10,0,51-51255,N
11432,1,6,1,2,2,1,0,17-03529,9090
11433,2,6,8,1,0,4,0,36-04010,N
11434,2,6,1,1,7,9,0,24-01004,8191
11435,1,6,2,1,8,8,0,19-01700,9670
11436,2,6,2,1,7,9,0,13-04600,6370
11437,2,1,6,1,5,7,0,38-00100,6870
11438,2,N,1,1,0,7,0,38-00100,N
11439,1,1,1,1,6,7,0,24-01004,9170
11440,2,5,1,1,9,10,2,17-03531,N
11441,2,3,2,1,9,10,0,13-04600,N
11442,2,1,1,1,2,1,0,19-01700,9170
11443,1,N,2,1,N,N,0,06-07502,7380
11444,2,N,2,2,2,4,0,38-00100,170
11445,1,6,1,1,N,1,0,01-01301,770
11446,1,1,1,1,0,9,0,06-08507,N
11447,1,2,2,1,N,3,0,36-04010,8680
11448,1,1,1,2,0,4,0,24-01004,7860
11449,1,1,6,1,8,9,0,29-01901,N
11450,2,1,1,2,7,8,0,38-00100,N
11451,2,1,6,1,N,2,0,30-00600,N
11452,1,N,7,2,2,7,0,24-01004,6991
11453,1,1,1,1,9,10,0,24-01004,N
11454,2,4,2,1,5,7,0,40-00200,N
11455,1,6,3,1,5,8,0,30-00600,8370
11456,1,N,3,0,0,7,0,32-00405,8660
11457,2,3,1,1,N,3,1,32-00405,N
11458,2,1,2,1,8,9,1,32-00405,N
11459,1,1,2,1,1,5,0,30-00600,7860
11460,2,3,1,2,8,10,0,36-03710,7870
11461,2,1,1,2,0,8,0,51-01301,8590
11462,1,1,2,1,0,4,0,06-08507,9470
11463,1,N,1,2,6,9,0,38-00100,770
11464,1,2,2,1,7,9,0,08-00803,N
11465,1,6,1,1,9,5,1,32-00405,6470
11466,1,4,1,1,3,9,0,32-00405,8180
11467,2,1,3,1,8,10,0,36-04010,N
11468,1,N,1,2,N,3,0,08-00803,7460
11469,2,6,6,2,2,4,0,51-01301,7780
11470,2,1,1,1,3,5,0,36-04010,N
11471,1,3,1,1,4,7,0,51-01301,N
11472,1,N,1,2,6,7,0,17-03531,N
11473,2,N,1,1,N,3,0,06-08507,N
11474,1,1,1,1,1,9,0,01-01301,4980
11475,1,N,6,2,4,9,0,13-04600,4270
11476,1,6,1,2,4,6,0,06-08507,N
11477,2,1,2,1,5,5,0,51-01301,6890
11478,2,1,1,2,0,7,0,30-00600,N
11479,2,N,1,2,4,12,0,51-01301,9480
11480,1,N,8,1,1,8,0,29-01901,7071
11481,2,N,7,2,2,1,0,28-01100,7690
11482,2,1,1,1,1,5,0,06-07502,7380
11483,2,N,1,2,3,5,0,24-01004,7870
11484,1,1,1,1,N,3,1,06-07502,770
11485,1,1,1,1,8,10,1,36-03710,5170
11486,2,6,8,1,N,3,1,01-01301,N
11487,1,6,2,1,N,2,0,17-03529,N
11488,2,1,6,1,9,12,3,32-00405,8191
11489,2,1,1,1,0,8,0,38-00100,N
11490,1,6,1,0,2,7,4,28-01100,N
11491,2,3,1,1,6,11,2,24-01004,9920
11492,1,6,2,1,2,5,0,36-04010,8191
11493,2,N,2,2,3,7,0,51-51255,6991
11494,2,6,2,1,3,5,0,24-01004,9590
11495,1,6,2,0,1,4,0,13-04600,N
11496,1,1,6,1,9,7,4,24-01004,7460
11497,2,3,1,2,N,1,0,30-00600,180
11498,2,N,1,0,3,3,0,51-51255,9480
11499,2,1,1,2,N,3,0,40-00200,8570
11500,1,1,1,0,8,5,0,06-08507,370
11501,2,6,3,2,N,N,0,30-00600,7860
11502,2,5,1,1,5,11,4,51-51255,N
11503,1,N,1,2,N,3,0,24-01004,7870
11504,2,6,2,1,6,5,0,01-01301,3680
11505,2,6,2,0,0,7,0,24-01004,8680
11506,2,1,1,1,2,11,0,06-07502,7790
11507,2,6,6,2,8,9,0,32-00405,N
11508,2,4,2,2,N,3,0,06-08507,N
11509,1,6,1,1,5,4,0,36-03710,N
11510,2,6,9,1,6,7,0,01-01301,5080
11511,2,1,2,0,2,5,0,36-04010,8191
11512,1,5,2,1,6,8,0,06-08507,7380
11513,2,6,2,1,N,3,0,40-00200,N
11514,2,N,1,1,6,9,0,38-00100,N
11515,1,1,2,2,2,4,0,38-00100,8590
11516,1,6,1,2,5,7,0,13-04600,N
11517,2,6,9,1,6,10,0,06-08507,7380
11518,2,1,1,1,8,5,0,30-00600,8590
11519,1,N,1,2,N,3,0,30-00600,8660
11520,1,6,8,1,N,3,0,30-00600,N
11521,2,1,2,2,0,5,0,38-00100,7460
11522,2,1,1,1,9,9,0,38-00100,N
11523,2,1,8,0,0,6,0,28-01100,8680
11524,1,1,2,2,N,3,0,28-01100,7290
11525,2,3,1,2,4,5,0,51-51255,N
11526,1,N,1,0,6,10,0,06-07502,N
11527,2,1,6,2,N,3,0,30-00600,9370
11528,2,6,1,2,N,1,0,51-51255,4670
11529,2,1,1,1,9,12,0,19-01700,280
11530,1,1,2,1,1,11,0,38-00100,N
11531,1,5,1,1,N,2,0,17-03531,7280
11532,1,N,9,1,0,4,0,13-04600,N
11533,2,6,2,2,2,4,0,06-08507,4795
11534,1,5,2,1,4,5,1,19-01700,9690
11535,1,N,1,2,7,10,0,32-00405,N
11536,1,1,6,2,N,3,0,51-01301,9480
11537,2,6,8,2,2,4,0,17-03529,7280
11538,2,1,6,2,8,10,0,24-01004,7860
11539,1,4,1,1,1,7,0,24-01004,6991
11540,1,1,2,1,N,3,0,28-01100,N
11541,2,2,2,1,0,4,0,06-07502,7570
11542,1,2,2,1,5,8,1,51-51255,N
11543,2,3,2,0,0,7,0,19-01700,7071
11544,1,6,2,1,2,8,0,19-01700,N
11545,1,6,1,1,9,8,0,32-00405,N
11546,1,1,1,1,5,7,0,06-08507,7380
11547,1,3,2,2,5,5,0,06-08507,N
11548,2,N,1,1,6,6,0,24-01004,N
11549,2,1,6,2,N,3,0,06-08507,N
11550,1,6,2,1,N,3,0,51-51255,N
11551,2,N,1,1,1,5,0,40-00200,N
11552,2,1,1,0,0,7,0,26-02702,2390
11553,2,1,1,0,0,7,0,06-08507,8680
11554,1,6,1,2,3,4,0,51-01301,9590
11555,1,2,2,1,9,9,0,24-01004,N
11556,2,1,1,2,1,4,0,19-01700,2780
11557,1,N,1,1,N,2,0,19-01700,4770
11558,2,N,6,1,1,5,0,51-51255,5370
11559,1,1,1,2,7,5,0,30-00600,180
11560,2,1,8,1,9,10,0,38-00100,8270
11561,2,3,1,2,2,8,0,51-51255,9590
11562,1,1,1,1,8,5,0,17-03529,6180
11563,2,1,1,1,N,1,0,38-00100,7290
11564,2,6,6,1,N,2,0,06-08507,N
11565,1,1,1,1,1,7,0,51-01301,9480
11566,1,4,3,0,1,7,0,51-51255,4670
11567,2,2,1,1,N,1,0,30-00600,N
11568,2,4,8,0,0,6,2,36-03710,7071
11569,2,1,2,1,9,10,4,32-00405,N
11570,1,N,1,2,4,8,0,51-51255,8680
11571,1,N,6,1,9,9,0,17-03529,6180
11572,1,1,1,2,2,4,0,26-02702,N
11573,1,6,1,1,5,5,0,38-00100,180
11574,2,4,1,2,2,7,0,26-02702,7870
11575,1,N,1,1,4,10,0,40-00200,N
11576,2,N,2,2,0,8,0,08-00803,7270
11577,1,1,6,2,5,4,0,06-07502,490
11578,2,6,1,1,9,10,0,17-03529,8090
11579,1,1,1,1,4,6,0,38-00100,6991
11580,1,1,1,1,7,7,0,06-08507,N
11581,2,6,2,2,3,5,0,38-00100,N
11582,2,1,1,1,9,10,0,24-01004,8470
11583,2,4,1,1,0,5,0,30-00600,N
11584,2,N,2,1,7,5,0,08-00803,8660
11585,1,1,1,1,0,4,0,28-01100,N
11586,2,3,6,2,N,N,0,06-08507,N
11587,1,1,6,1,4,9,0,30-00600,N
11588,2,4,1,0,1,7,0,17-03531,5580
11589,2,N,9,0,1,7,0,13-04600,N
11590,2,6,1,1,8,7,0,38-00100,8590
11591,2,1,1,2,2,4,0,24-01004,7870
11592,2,6,1,1,4,5,0,51-01301,7590
11593,1,N,2,1,1,5,0,08-00803,770
11594,1,1,1,2,6,9,4,36-03710,N
11595,2,1,1,1,2,10,0,38-00100,770
11596,2,1,1,1,7,9,0,38-00100,N
11597,1,6,8,2,N,2,0,08-00803,7970
11598,1,4,2,1,N,1,0,29-01901,N
11599,1,N,3,1,5,7,2,36-03710,N
11600,2,1,1,1,N,3,0,40-00200,N
11601,2,4,1,1,6,11,0,51-51255,9590
11602,2,N,1,1,6,1,0,26-02702,4795
11603,1,6,2,1,N,2,0,28-01100,8680
11604,2,1,1,1,2,9,0,06-08507,N
11605,2,1,1,1,2,5,0,17-03529,8191
11606,2,N,1,2,0,10,1,32-00405,N
11607,1,6,2,0,0,7,0,24-01004,N
11608,2,4,2,1,2,9,0,26-02702,8680
11609,1,6,3,1,N,3,0,30-00600,180
11610,1,4,2,1,9,9,0,26-02702,7870
11611,2,N,2,1,9,8,0,08-00803,N
11612,2,1,1,1,9,10,2,32-00405,N
11613,2,6,1,1,0,5,0,24-01004,N
11614,1,N,6,2,3,4,0,29-01901,N
11615,2,6,6,0,2,5,0,36-04010,2970
11616,2,1,1,2,6,5,0,51-51255,4870
11617,1,4,1,2,8,10,0,26-02702,7890
11618,1,4,3,1,5,7,0,38-00100,N
11619,1,6,2,1,1,9,0,26-02702,N
11620,2,6,2,2,1,9,0,38-00100,N
11621,2,1,6,1,9,9,0,40-00200,8191
11622,1,6,6,1,3,6,0,28-01100,7280
11623,1,1,1,1,1,10,0,36-04010,6180
11624,2,1,1,2,1,5,0,38-00100,7980
11625,1,6,1,2,2,7,0,38-00100,N
11626,1,1,1,2,6,5,0,51-01301,N
11627,2,6,1,1,8,9,1,32-00405,770
11628,2,6,2,1,5,7,0,26-02702,8191
11629,1,6,1,2,5,5,0,36-04010,690
11630,1,1,1,1,0,7,0,28-01100,N
11631,2,1,1,2,4,5,0,29-01901,N
11632,1,N,1,1,7,9,0,17-03531,N
11633,2,2,2,2,4,5,0,19-01700,9470
11634,2,1,1,1,6,10,0,40-00200,6190
11635,1,6,2,1,3,7,0,13-04600,8680
11636,2,4,2,1,3,5,0,38-00100,8090
11637,1,N,1,1,3,6,0,51-51255,7860
11638,1,1,1,2,4,8,1,19-01700,N
11639,2,4,6,1,7,7,0,30-00600,770
11640,1,4,2,1,0,4,2,36-03710,N
11641,2,1,1,2,5,9,0,40-00200,8590
11642,2,1,1,1,9,9,0,36-03710,N
11643,2,1,3,2,N,3,0,51-01301,9470
11644,1,1,1,1,9,12,0,17-03531,7280
11645,2,6,1,0,1,5,0,28-01100,8191
11646,2,N,1,2,2,5,0,08-00803,7860
11647,1,6,2,1,6,5,0,24-01004,N
11648,1,N,2,0,5,7,0,51-01301,7470
11649,1,4,1,2,1,9,0,17-03529,9090
11650,1,6,2,1,5,7,0,30-00600,9370
11651,2,N,9,1,3,4,0,24-01004,9470
11652,2,4,2,1,8,7,0,19-01700,N
11653,2,6,9,2,6,9,0,08-00803,7071
11654,1,6,2,2,0,5,0,51-01301,6890
11655,1,N,1,1,9,7,0,19-01700,7870
11656,1,5,2,1,9,10,0,51-01301,9470
11657,2,N,6,2,7,5,0,30-00600,5790
11658,2,N,2,2,6,7,0,51-51255,N
11659,1,6,1,1,N,1,0,19-01700,6190
11660,2,4,2,1,5,9,0,28-01100,7860
11661,2,1,2,1,6,5,0,28-01100,490
11662,1,1,2,2,N,3,0,19-01700,7380
11663,1,4,1,1,7,5,0,06-07502,N
11664,1,1,1,2,3,3,0,38-00100,1180
11665,1,1,3,2,N,1,0,19-01700,N
11666,2,6,2,2,4,9,0,51-51255,7860
11667,1,1,1,0,2,10,0,51-01301,N
11668,2,1,6,2,4,6,0,36-04010,N
11669,2,3,1,1,9,9,0,28-01100,3390
11670,2,5,1,1,6,7,0,13-04600,6680
11671,1,1,1,2,4,5,0,38-00100,4890
11672,2,1,8,1,9,5,0,08-00803,3370
11673,1,4,3,1,3,6,0,36-04010,8270
11674,1,1,1,1,4,9,0,28-01100,N
11675,2,6,1,0,5,6,0,36-04010,7860
11676,2,1,1,1,N,N,0,19-01700,7790
11677,2,6,1,1,4,4,0,51-51255,N
11678,2,6,1,1,2,9,0,17-03529,5070
11679,2,1,1,1,N,3,0,28-01100,N
11680,2,1,6,1,5,5,0,30-00600,8891
11681,2,1,6,0,2,5,0,13-04600,N
11682,1,N,1,2,4,7,0,01-01301,6380
11683,1,1,1,2,N,3,0,08-00803,8680
11684,1,2,6,1,7,12,1,38-00100,N
11685,1,6,1,1,8,7,0,08-00803,N
11686,2,1,1,1,N,3,0,19-01700,N
11687,1,2,1,1,8,4,0,51-01301,N
11688,1,6,1,2,4,9,0,24-01004,N
11689,1,6,3,1,N,3,0,06-07502,8660
11690,1,1,1,1,6,11,0,13-04600,7860
11691,2,N,3,2,3,9,0,17-03529,8680
11692,1,1,6,1,1,7,0,36-03710,N
11693,2,N,2,1,9,10,0,51-51255,7770
11694,2,N,1,1,4,8,0,38-00100,N
11695,2,N,1,2,3,4,1,06-07502,7390
11696,1,1,1,2,2,5,0,38-00100,6970
11697,1,1,1,1,8,9,2,36-03710,4670
11698,2,4,2,2,N,3,0,01-01301,N
11699,2,6,2,2,4,9,0,24-01004,8660
11700,1,4,1,1,7,10,0,01-01301,N
11701,2,1,1,1,8,10,0,51-51255,9170
11702,2,1,1,2,N,N,0,19-01700,N
11703,2,6,1,2,1,7,2,36-03710,5480
11704,1,1,1,1,7,9,0,30-00600,180
11705,2,1,2,2,N,2,0,51-01301,7860
11706,1,1,1,1,1,4,0,38-00100,170
11707,2,1,1,1,N,N,1,32-00405,N
11708,2,4,1,1,N,3,0,24-01004,N
11709,2,6,2,2,1,5,0,08-00803,7870
11710,1,1,9,2,3,5,0,24-01004,N
11711,1,6,1,1,4,6,0,13-04600,9920
11712,1,6,1,1,0,5,0,51-01301,6890
11713,2,6,1,2,2,7,0,26-02702,N
11714,1,6,1,2,8,9,0,38-00100,180
11715,1,1,6,1,0,8,0,06-08507,N
11716,2,6,1,1,N,N,0,28-01100,8570
11717,1,6,1,1,N,3,0,08-00803,N
11718,2,3,8,2,6,7,0,17-03529,7870
11719,2,N,1,2,4,5,0,17-03529,N
11720,1,1,1,1,9,10,0,28-01100,8270
11721,2,1,6,2,N,3,0,06-07502,N
11722,2,1,2,2,4,7,0,24-01004,N
11723,2,1,1,1,7,8,0,51-01301,9470
11724,2,2,2,1,6,5,1,38-00100,N
11725,1,N,1,2,5,7,0,17-03529,N
11726,1,6,1,2,8,5,4,06-07502,6770
11727,2,1,1,1,5,10,0,28-01100,3960
11728,2,1,1,1,N,3,1,32-00405,8680
11729,2,1,2,1,2,3,0,28-01100,9170
11730,2,6,1,1,N,3,0,30-00600,N
11731,1,6,2,0,0,9,0,28-01100,9570
11732,1,6,6,1,1,7,2,32-00405,N
11733,1,4,1,1,7,5,0,51-51255,570
11734,1,N,1,2,7,9,1,40-00200,N
11735,2,4,2,0,1,7,0,24-01004,N
11736,1,4,1,1,9,11,0,24-01004,N
11737,1,N,1,2,1,7,0,30-00600,3291
11738,2,6,1,1,7,11,0,30-00600,180
11739,1,N,1,1,4,9,0,29-01901,5391
11740,2,1,1,1,3,3,0,40-00200,N
11741,2,N,2,1,2,4,0,38-00100,4270
11742,2,6,2,2,2,4,0,24-01004,N
11743,2,1,6,1,4,5,0,29-01901,8170
11744,1,6,2,1,9,11,0,17-03531,770
11745,2,1,9,1,2,10,0,32-00405,9920
11746,2,6,1,1,5,7,0,08-00803,6770
11747,1,1,8,1,6,7,0,29-01901,7980
11748,1,6,2,1,1,1,0,30-00600,2090
11749,1,1,6,1,1,7,0,17-03531,7390
11750,1,6,6,2,8,10,1,08-00803,7390
11751,1,1,1,0,1,5,0,19-01700,N
11752,1,N,9,1,0,4,0,38-00100,5391
11753,1,N,1,0,8,7,0,38-00100,N
11754,1,1,1,2,3,9,1,40-00200,N
11755,2,6,2,0,1,7,0,17-03529,7380
11756,2,3,2,1,1,4,0,38-00100,7290
11757,1,1,1,1,7,9,0,26-02702,N
11758,2,1,1,2,2,6,0,38-00100,4470
11759,2,6,1,2,N,2,0,40-00200,N
11760,2,4,6,2,1,10,0,17-03531,9470
11761,1,6,2,1,4,9,0,17-03529,N
11762,2,6,1,2,8,12,0,51-01301,N
11763,2,N,6,1,4,9,0,40-00200,N
11764,2,6,2,0,0,9,0,19-01700,770
11765,1,1,1,1,5,8,0,51-01301,7380
11766,2,6,1,1,N,3,0,36-04010,N
11767,1,6,2,1,9,10,0,30-00600,8470
11768,1,1,9,1,7,10,0,36-04010,9190
11769,1,6,2,1,3,7,0,17-03529,1170
11770,2,N,2,0,0,7,0,32-00405,9680
11771,1,6,1,1,4,5,0,26-02702,3570
11772,2,6,1,1,0,4,0,13-04600,N
11773,2,1,2,0,0,7,0,19-01700,9170
11774,1,6,1,2,3,9,0,17-03531,N
11775,2,4,2,2,N,N,0,30-00600,4290
11776,2,6,1,2,8,9,0,06-08507,N
11777,2,1,1,1,9,9,1,06-07502,N
11778,2,1,1,2,4,7,0,08-00803,9090
11779,2,1,2,1,N,2,1,32-00405,8680
11780,2,6,6,1,1,7,0,24-01004,8191
11781,2,6,2,1,5,9,0,24-01004,8170
11782,2,1,3,1,5,4,0,24-01004,6390
11783,1,6,8,1,8,11,1,51-01301,N
11784,2,1,2,2,5,5,0,24-01004,9470
11785,2,2,8,1,9,9,0,17-03531,7860
11786,2,2,2,2,0,7,0,13-04600,5580
11787,1,N,1,1,1,4,0,40-00200,N
11788,1,N,6,2,9,11,0,06-08507,7071
11789,1,4,1,1,N,3,0,30-00600,3365
11790,2,N,9,2,N,N,0,17-03529,N
11791,2,1,1,1,8,12,0,28-01100,2270
11792,2,1,1,2,2,7,4,06-07502,6080
11793,1,N,3,1,6,9,0,17-03529,N
11794,1,1,1,1,8,9,0,36-04010,8770
11795,1,6,1,1,7,12,0,06-08507,N
11796,1,1,6,1,9,9,0,30-00600,8980
11797,2,3,3,1,8,9,0,17-03529,7870
11798,2,4,1,2,N,N,0,38-00100,490
11799,1,1,1,2,7,9,0,13-04600,N
11800,1,6,2,1,4,7,0,01-01301,N
11801,1,1,1,1,5,9,0,24-01004,N
11802,2,1,1,2,8,9,0,38-00100,N
11803,2,6,6,2,1,5,0,01-01301,470
11804,1,6,1,1,0,10,0,51-51255,9590
11805,2,1,1,2,7,10,0,51-51255,9790
11806,1,6,2,1,9,10,0,24-01004,N
11807,2,1,1,1,9,9,0,13-04600,N
11808,1,6,2,1,3,9,0,28-01100,N
11809,2,2,1,2,9,9,0,17-03529,770
11810,1,6,2,2,0,7,1,32-00405,N
11811,2,6,1,1,5,9,0,17-03529,7280
11812,2,6,1,1,3,10,0,51-51255,7970
11813,1,6,6,1,N,N,0,17-03531,N
11814,2,N,2,1,8,10,0,17-03531,6870
11815,2,1,1,1,N,1,0,08-00803,8580
11816,1,1,1,1,N,3,0,17-03529,9370
11817,2,2,1,2,9,6,0,28-01100,N
11818,1,1,1,2,8,9,0,06-08507,4795
11819,2,4,6,2,5,10,0,30-00600,N
11820,2,6,5,1,2,7,0,32-00405,4195
11821,2,N,1,1,2,5,0,19-01700,N
11822,1,4,1,2,0,4,0,51-01301,N
11823,1,1,1,2,N,3,0,38-00100,N
11824,1,4,2,1,3,6,0,40-00200,N
11825,2,N,2,1,1,5,0,19-01700,7860
11826,2,3,1,1,0,3,1,32-00405,770
11827,2,5,1,1,N,3,1,17-03529,7690
11828,1,1,2,1,4,9,0,29-01901,770
11829,2,1,1,1,4,5,0,32-00405,770
11830,2,N,6,1,7,5,0,29-01901,7890
11831,2,6,1,2,8,11,0,40-00200,N
11832,2,4,2,2,7,9,0,13-04600,N
11833,1,6,2,2,3,4,0,06-07502,9470
11834,1,1,3,1,N,3,0,17-03529,N
11835,1,N,9,2,5,5,0,36-04010,7690
11836,1,4,2,1,0,8,0,26-02702,770
11837,1,N,9,2,7,9,0,24-01004,7890
11838,2,1,1,1,0,4,0,51-01301,7470
11839,2,1,1,2,9,9,0,38-00100,N
11840,1,N,2,1,N,3,0,06-07502,8980
11841,2,6,8,2,6,5,0,08-00803,9170
11842,2,N,9,1,1,8,0,24-01004,6991
11843,1,1,1,1,7,10,0,17-03529,5170
11844,2,6,1,1,5,9,0,17-03529,7390
11845,2,1,3,1,N,1,0,24-01004,N
11846,1,2,1,0,2,5,0,06-08507,N
11847,2,6,2,1,4,5,0,06-08507,N
11848,2,3,2,1,N,3,0,08-00803,7280
11849,1,1,1,1,1,4,0,24-01004,N
11850,1,4,1,2,4,9,0,19-01700,N
11851,1,1,1,1,9,11,0,51-51255,N
11852,1,4,8,1,7,9,0,51-01301,7380
11853,2,6,1,1,0,9,0,28-01100,8970
11854,2,N,6,1,9,10,0,51-01301,6290
11855,2,6,2,1,4,10,0,24-01004,9470
11856,2,1,1,1,8,9,0,13-04600,N
11857,2,N,1,1,9,9,0,24-01004,8990
11858,1,6,1,1,N,3,0,30-00600,6770
11859,2,1,1,1,5,7,0,36-03710,8191
11860,2,1,2,2,5,4,0,17-03529,N
11861,1,6,2,2,8,12,0,24-01004,7870
11862,2,1,1,2,9,7,0,29-01901,N
11863,1,1,2,2,9,6,0,51-51255,2170
11864,2,5,2,2,3,9,0,38-00100,7080
11865,1,6,2,1,8,11,0,28-01100,N
11866,2,6,1,1,N,2,0,38-00100,9590
11867,2,3,1,2,7,10,0,32-00405,N
11868,2,6,2,1,3,4,0,30-00600,N
11869,1,6,3,1,6,5,0,40-00200,8090
11870,2,1,1,2,6,5,0,19-01700,N
11871,1,1,6,2,4,7,0,40-00200,N
11872,1,1,1,1,9,8,0,08-00803,N
11873,1,N,8,2,1,7,0,01-01301,N
11874,2,1,6,1,N,3,0,19-01700,6991
11875,1,6,1,1,N,2,1,32-00405,770
11876,2,6,1,1,6,7,0,01-01301,N
11877,2,3,1,1,3,5,0,40-00200,N
11878,2,1,1,1,9,9,0,30-00600,6370
11879,2,N,2,1,1,4,0,08-00803,8090
11880,2,1,1,2,3,9,0,30-00600,N
11881,2,6,9,1,8,10,0,24-01004,N
11882,2,1,6,1,0,9,0,28-01100,N
11883,2,4,1,1,6,8,0,30-00600,180
11884,2,1,1,1,7,8,1,32-00405,N
11885,1,1,3,2,4,8,0,24-01004,9480
11886,1,1,1,2,N,3,0,40-00200,6670
11887,1,N,1,1,8,10,0,06-08507,380
11888,1,1,1,2,8,10,0,06-08507,9290
11889,1,N,1,1,N,N,0,36-04010,8680
11890,1,4,1,2,4,1,0,17-03529,N
11891,2,6,1,1,2,5,0,36-04010,8680
11892,2,1,1,2,5,5,0,08-00803,6570
11893,2,4,2,2,5,7,0,29-01901,N
11894,1,4,1,1,9,10,0,36-04010,6180
11895,1,N,1,2,5,10,0,17-03529,N
11896,1,6,2,2,0,7,0,28-01100,8270
11897,1,1,1,2,4,9,0,24-01004,7860
11898,2,3,1,2,3,3,0,30-00600,N
11899,1,1,1,0,2,7,0,01-01301,N
11900,2,4,1,2,8,5,0,17-03529,N
11901,2,4,1,1,7,5,0,01-01301,N
11902,2,4,2,1,5,7,0,24-01004,8680
11903,1,6,1,1,N,3,0,13-04600,7890
11904,1,5,2,1,N,3,0,08-00803,9290
11905,1,6,2,1,0,10,0,51-01301,7390
11906,1,4,2,1,2,9,0,24-01004,9170
11907,2,1,1,1,N,3,0,17-03529,7460
11908,2,1,6,0,1,7,0,24-01004,4170
11909,2,1,2,1,6,5,0,32-00405,N
11910,1,1,2,1,N,4,1,32-00405,N
11911,1,6,2,1,9,12,0,17-03529,N
11912,1,6,1,2,4,5,0,17-03529,6380
11913,2,1,2,2,1,3,0,38-00100,770
11914,1,N,1,1,6,9,4,36-03710,5170
11915,2,N,1,0,0,9,0,19-01700,7380
11916,1,1,1,1,3,10,1,01-01301,770
11917,2,N,8,2,0,4,0,17-03531,6180
11918,2,1,1,2,1,9,0,24-01004,7860
11919,2,1,1,1,7,7,0,17-03529,N
11920,2,3,1,1,N,3,0,51-51255,7860
11921,2,6,1,1,2,8,0,30-00600,7280
11922,2,1,1,2,N,4,1,32-00405,770
11923,1,N,5,2,6,9,0,51-01301,8470
11924,2,1,1,2,N,1,0,29-01901,6670
11925,2,6,1,1,0,5,0,24-01004,8370
11926,2,4,2,1,8,7,2,36-03710,N
11927,2,3,1,1,8,10,0,06-07502,590
11928,2,N,1,1,9,10,0,40-00200,N
11929,1,1,1,2,2,5,0,30-00600,N
11930,1,N,1,1,9,9,0,51-01301,N
11931,2,1,1,1,7,5,0,30-00600,N
11932,1,1,1,2,5,10,0,08-00803,7460
11933,1,6,1,1,0,10,0,24-01004,N
11934,1,6,1,1,6,7,0,51-51255,7390
11935,2,1,1,1,7,9,0,51-51255,N
11936,1,6,1,1,N,3,0,06-07502,7072
11937,1,1,1,1,5,7,2,36-03710,N
11938,2,4,1,2,5,5,2,36-03710,N
11939,2,N,2,1,6,10,0,40-00200,N
11940,2,1,1,1,9,9,0,13-04600,N
11941,1,1,1,2,0,9,0,06-07502,8470
11942,1,1,1,1,7,6,0,26-02702,N
11943,2,6,2,1,2,11,0,51-01301,N
11944,2,N,2,1,9,11,1,32-00405,8370
11945,2,4,8,1,N,1,0,01-01301,6870
11946,1,1,1,2,5,9,1,13-04600,7071
11947,1,N,3,2,4,7,0,30-00600,8191
11948,1,N,1,0,0,7,0,29-01901,N
11949,1,6,1,2,5,6,0,06-08507,8590
11950,2,1,1,0,0,4,0,06-08507,N
11951,2,2,6,2,8,9,0,08-00803,N
11952,1,6,1,1,9,9,0,13-04600,N
11953,1,6,1,0,0,6,0,17-03529,9090
11954,1,6,6,1,0,4,0,40-00200,7460
11955,2,2,3,1,7,8,0,19-01700,N
11956,1,1,1,0,0,7,4,32-00405,N
11957,2,4,2,2,N,3,0,24-01004,N
11958,1,2,1,1,7,4,0,01-01301,N
11959,1,1,1,0,0,7,0,38-00100,7860
11960,2,3,1,1,N,4,0,51-01301,9680
11961,1,6,2,2,4,3,0,30-00600,N
11962,1,6,1,2,3,8,0,38-00100,6991
11963,2,6,2,1,9,10,4,24-01004,3980
11964,2,6,1,0,0,7,0,24-01004,N
11965,2,6,2,1,4,6,0,51-51255,9070
11966,1,6,9,1,N,N,0,36-04010,N
11967,2,6,3,1,5,8,0,24-01004,N
11968,1,N,2,2,9,10,1,32-00405,8290
11969,2,6,1,1,8,9,0,26-02702,7870
11970,1,6,1,1,1,4,0,17-03529,N
11971,1,6,1,2,5,9,0,51-01301,7380
11972,2,6,2,1,1,7,0,30-00600,6670
11973,1,6,6,1,4,9,0,19-01700,N
11974,2,3,2,2,0,10,0,29-01901,N
11975,2,3,6,1,N,2,0,29-01901,N
11976,1,6,3,2,5,10,0,32-00405,7780
11977,1,1,1,1,8,7,0,40-00200,N
11978,1,1,1,1,8,10,3,38-00100,8990
11979,2,6,1,1,9,7,0,06-07502,N
11980,2,3,2,0,1,7,0,36-04010,8590
11981,1,N,1,2,0,7,0,08-00803,7870
11982,1,1,5,2,9,9,0,01-01301,7290
11983,1,6,2,1,4,9,0,17-03529,9920
11984,1,6,2,2,6,7,1,01-01301,N
11985,1,1,1,1,N,4,0,06-08507,N
11986,2,3,1,2,0,7,0,08-00803,N
11987,2,N,1,1,9,10,0,08-00803,4690
11988,1,N,1,1,1,10,0,29-01901,N
11989,2,6,1,1,2,9,0,30-00600,N
