,AGEP_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,MSP,NOC_x,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,NOC_y,PINCP_DECILE_y,percent_match
641,68,N,7,0,3,6,N,2,9,51-51255,6,2,25,N,1,0,4,20.0
642,60,N,8,0,1,5,0,1,N,38-00100,1,1,43,N,1,1,9,40.0
643,82,N,9,0,1,1,0,2,5,06-07502,9,2,46,N,1,2,2,40.0
644,48,N,9,0,1,1,0,1,0,17-03529,6,1,45,N,1,2,6,40.0
645,27,N,3,1,1,4,2,2,2,32-00405,1,1,60,N,1,0,0,40.0
646,44,N,2,0,1,N,1,1,8,06-07502,6,2,6,N,1,1,N,60.0
647,72,N,11,0,1,6,2,1,N,51-51255,2,2,64,N,1,0,7,40.0
648,13,N,N,0,1,N,1,2,2,36-03710,1,2,1,N,1,4,N,40.0
649,6,N,9,0,1,2,3,1,N,51-01301,1,1,61,N,1,0,8,40.0
650,28,N,5,2,1,1,0,2,N,24-01004,1,1,30,N,1,2,7,40.0
651,61,N,6,0,1,1,N,2,6,06-07502,6,2,35,N,1,0,2,40.0
652,53,N,12,0,1,6,0,2,0,36-04010,1,2,33,N,1,0,4,60.0
653,2,N,8,0,1,4,0,2,4,28-01100,1,2,71,N,1,0,9,60.0
